#Time X Y Z(m) dE dN dU(m) RMS Ratio GPS BDS
2390 233908 -2267809.966174186673015 5009324.106703730300069 3221016.700427662115544 -153.738486486896306 1581.684742525442743 -7.773050132732692 33.196 6 10
2390 233909 -2267809.966687011066824 5009324.105969452299178 3221016.699419719632715 -153.739256486177453 1581.685378148778454 -7.772143940053127 34.083 6 10
2390 233910 -2267809.965091479010880 5009324.101753841154277 3221016.697764264885336 -153.739541455524659 1581.684517873384721 -7.767428396711807 42.778 6 10
2390 233911 -2267809.965776180848479 5009324.104519460350275 3221016.700355798006058 -153.739024688478878 1581.683709781238349 -7.771158470298616 52.504 6 10
2390 233912 -2267809.966892797499895 5009324.106895179487765 3221016.701414342503995 -153.739062191287928 1581.684131983557791 -7.773956993009108 35.453 6 10
2390 233913 -2267809.967205549124628 5009324.105885163880885 3221016.699720405507833 -153.739763636821692 1581.685188833541815 -7.772414783579109 40.959 6 10
2390 233914 -2267809.964958688244224 5009324.098696444183588 3221016.697902769315988 -153.740681344175414 1581.682955310519446 -7.765052782210546 43.135 6 10
2390 233915 -2267809.966365789063275 5009324.105441637337208 3221016.699347799643874 -153.739181520935801 1581.685128413831535 -7.771579176949643 57.501 6 10
2390 233916 -2267809.967217019759119 5009324.109332936815917 3221016.701438427437097 -153.738352235112018 1581.685307768433177 -7.775997055043149 42.434 6 10
2390 233917 -2267809.965915226377547 5009324.107365292496979 3221016.703136362601072 -153.737977746659453 1581.682661666048716 -7.774853737692155 43.139 6 10
2390 233918 -2267809.968535266350955 5009324.113049694336951 3221016.702824384905398 -153.738020383323544 1581.686111087817380 -7.780085757894767 27.927 6 10
2390 233919 -2267809.966278159525245 5009324.104938739910722 3221016.699394523166120 -153.739309083491378 1581.684836987987637 -7.771177223448547 33.204 6 10
2390 233920 -2267809.968879640568048 5009324.109500204212964 3221016.702278349082917 -153.739797909058211 1581.685010266828158 -7.777145651727807 29.078 6 10
2390 233921 -2267809.965886870864779 5009324.102372355759144 3221016.698632153682411 -153.740010987221240 1581.684223445239013 -7.768637235631871 44.740 6 10
2390 233922 -2267809.966407015454024 5009324.107343080453575 3221016.700088484678417 -153.738434928753520 1581.685379428570286 -7.773462097971446 34.856 6 10
